rep,method,rmse,k,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
2,RC,0.4247754999707468,2,-0.2965115425241006,0.3373253493013972,0,lagged,power,500,0.1
2,Oracle,,2,0.341589187005796,0.015968063872255488,1,lagged,power,500,0.1
2,DM,,2,-0.8425548518792166,0.9880239520958084,0,lagged,power,500,0.1
2,cDM,,2,-0.18513778331427744,0.9560878243512974,0,lagged,power,500,0.1
2,SS,0.7684365510450172,2,0.2277833556423506,0.4251497005988024,0,lagged,power,500,0.1
2,RC,0.6963427144730082,3,-0.18420781472192974,0.38922155688622756,0,lagged,power,500,0.1
2,Oracle,,3,1.3219402691168527,0.001996007984031936,1,lagged,power,500,0.1
2,DM,,3,-0.17289551234250855,0.654690618762475,0,lagged,power,500,0.1
2,cDM,,3,-0.010630049600098546,0.5109780439121756,0,lagged,power,500,0.1
2,SS,0.8701786075991566,3,0.28406180682013243,0.1536926147704591,0,lagged,power,500,0.1
2,RC,0.8128060739470534,4,0.36962892086350163,0.18562874251497005,0,lagged,power,500,0.1
2,Oracle,,4,4.921118826313734,0.029940119760479042,1,lagged,power,500,0.1
2,DM,,4,-0.21007323513923992,0.6866267465069861,0,lagged,power,500,0.1
2,cDM,,4,-0.03939442067784262,0.6447105788423154,0,lagged,power,500,0.1
2,SS,1.0649923604412335,4,0.006393500678880559,0.45708582834331335,0,lagged,power,500,0.1
2,RC,1.1518907041763795,5,-2.1380077370921358,0.14171656686626746,0,lagged,power,500,0.1
2,Oracle,,5,4.464752589992436,0.017964071856287425,1,lagged,power,500,0.1
2,DM,,5,0.24667169927127292,0.3213572854291417,0,lagged,power,500,0.1
2,cDM,,5,0.009167398447211542,0.4630738522954092,0,lagged,power,500,0.1
2,SS,1.1892112787816502,5,1.0879197805447998,0.1317365269461078,0,lagged,power,500,0.1
3,RC,0.615189499533169,1,1.2213454924923226,0.34930139720558884,0,lagged,power,500,0.1
3,Oracle,,1,1.0811762415749213,0.015968063872255488,1,lagged,power,500,0.1
3,DM,,1,0.3036881807774245,0.18562874251497005,0,lagged,power,500,0.1
3,cDM,,1,-0.14245906761875168,0.8962075848303394,0,lagged,power,500,0.1
3,SS,1.0180788263454768,1,-1.362380684253134,0.5708582834331337,0,lagged,power,500,0.1
3,RC,0.3719233193318918,2,0.21062258650719334,0.13373253493013973,0,lagged,power,500,0.1
3,Oracle,,2,1.0159321713533092,0.00998003992015968,1,lagged,power,500,0.1
3,DM,,2,0.4900335364212303,0.10978043912175649,0,lagged,power,500,0.1
3,cDM,,2,0.02651246898896991,0.3812375249500998,0,lagged,power,500,0.1
3,SS,1.1029183111069294,2,-0.6949461477899552,0.11776447105788423,0,lagged,power,500,0.1
3,RC,0.8026985841429132,3,0.6744933443949603,0.29740518962075846,0,lagged,power,500,0.1
3,Oracle,,3,1.1874536224059709,0.015968063872255488,1,lagged,power,500,0.1
3,DM,,3,-0.12469170984897618,0.6367265469061876,0,lagged,power,500,0.1
3,cDM,,3,0.032109708456834314,0.3912175648702595,0,lagged,power,500,0.1
3,SS,1.288170489523764,3,-1.0310546671332397,0.908183632734531,0,lagged,power,500,0.1
3,RC,0.8451799154582715,4,1.3428819555823317,0.21956087824351297,0,lagged,power,500,0.1
3,Oracle,,4,4.749252824888061,0.007984031936127744,1,lagged,power,500,0.1
3,DM,,4,0.29525287572326536,0.24550898203592814,0,lagged,power,500,0.1
3,cDM,,4,-0.1576971863031133,0.8682634730538922,0,lagged,power,500,0.1
3,SS,0.9075734501260623,4,-0.0932748732640301,0.21756487025948104,0,lagged,power,500,0.1
3,RC,0.8722468649784204,5,0.0010290628348657905,0.6127744510978044,0,lagged,power,500,0.1
3,Oracle,,5,3.9856727241163505,0.06786427145708583,1,lagged,power,500,0.1
3,DM,,5,-0.619228968056617,0.9041916167664671,0,lagged,power,500,0.1
3,cDM,,5,0.08753125865326616,0.21956087824351297,0,lagged,power,500,0.1
3,SS,1.4130308480241351,5,-0.7764007082387203,0.30538922155688625,0,lagged,power,500,0.1
4,RC,0.5094784172317299,1,-1.5067863533476964,0.6646706586826348,0,lagged,power,500,0.1
4,Oracle,,1,0.20964706191571064,0.13373253493013973,0,lagged,power,500,0.1
4,DM,,1,0.20095850234518933,0.3333333333333333,0,lagged,power,500,0.1
4,cDM,,1,0.05707437152145668,0.313373253493014,0,lagged,power,500,0.1
4,SS,0.8193084923041543,1,-0.46163348643894064,0.5808383233532934,0,lagged,power,500,0.1
4,RC,0.37849583253299524,2,-0.277440840816932,0.4750499001996008,0,lagged,power,500,0.1
4,Oracle,,2,0.7465021124848141,0.32335329341317365,0,lagged,power,500,0.1
4,DM,,2,-0.35067484005709565,0.7784431137724551,0,lagged,power,500,0.1
4,cDM,,2,0.10512098772582856,0.17964071856287425,0,lagged,power,500,0.1
4,SS,0.687078700823422,2,-0.6239893882130757,0.6387225548902196,0,lagged,power,500,0.1
4,RC,0.574512013895958,3,3.3920606279676697,0.09780439121756487,1,lagged,power,500,0.1
4,Oracle,,3,5.397486819124823,0.021956087824351298,1,lagged,power,500,0.1
4,DM,,3,0.010490132955833887,0.46706586826347307,0,lagged,power,500,0.1
4,cDM,,3,0.0013728455471524756,0.4870259481037924,0,lagged,power,500,0.1
4,SS,0.799297420145785,3,1.0700737535567124,0.10179640718562874,0,lagged,power,500,0.1
4,RC,0.8662348661978493,4,2.807948073409921,0.3073852295409182,0,lagged,power,500,0.1
4,Oracle,,4,7.613690973268717,0.001996007984031936,1,lagged,power,500,0.1
4,DM,,4,0.3007742668958858,0.27345309381237526,0,lagged,power,500,0.1
4,cDM,,4,-0.05434342608226177,0.6626746506986028,0,lagged,power,500,0.1
4,SS,0.785019600438786,4,1.095798472013932,0.013972055888223553,1,lagged,power,500,0.1
