rep,method,rmse,k,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
10,cDM,,1,-0.0313879112843237,0.6027944111776448,0,static,power,500,0.1
10,SS,1.4138182650726991,1,-2.0364218488272257,0.8263473053892215,0,static,power,500,0.1
10,RV,0.6929014507732387,2,1.6188143474782102,0.25748502994011974,0,static,power,500,0.1
10,Oracle,,2,1.1071539470908138,0.19161676646706588,0,static,power,500,0.1
10,DM,,2,-0.02502934086107785,0.5329341317365269,0,static,power,500,0.1
10,cDM,,2,-0.020905946626821232,0.5688622754491018,0,static,power,500,0.1
10,SS,1.0988559845065193,2,-0.004875729825054398,0.2634730538922156,0,static,power,500,0.1
10,RV,0.7293160842132997,3,5.911257154168047,0.031936127744510975,1,static,power,500,0.1
10,Oracle,,3,9.533709100730391,0.003992015968063872,1,static,power,500,0.1
10,DM,,3,0.1067121843957212,0.4291417165668663,0,static,power,500,0.1
10,cDM,,3,0.22455584931190634,0.1217564870259481,0,static,power,500,0.1
10,SS,1.2718356760868141,3,1.4347847572574686,0.029940119760479042,1,static,power,500,0.1
10,RV,1.3439553408049432,4,0.03309814172340286,0.4411177644710579,0,static,power,500,0.1
10,Oracle,,4,7.687712808409185,0.09580838323353294,1,static,power,500,0.1
10,DM,,4,0.055751106504365495,0.4411177644710579,0,static,power,500,0.1
10,cDM,,4,0.07369474871778053,0.3153692614770459,0,static,power,500,0.1
10,SS,1.4836055262968917,4,-1.5897915371417075,0.8982035928143712,0,static,power,500,0.1
10,RV,0.7902423517940929,5,4.122974578322638,0.1377245508982036,0,static,power,500,0.1
10,Oracle,,5,6.088902702236639,0.01996007984031936,1,static,power,500,0.1
10,DM,,5,0.790484224201332,0.11976047904191617,0,static,power,500,0.1
10,cDM,,5,0.07962276985365764,0.34930139720558884,0,static,power,500,0.1
10,SS,1.0662634806932914,5,-0.38208015968545,0.47904191616766467,0,static,power,500,0.1
11,RV,1.3259989157501524,1,6.840246118208924,0.18762475049900199,0,static,power,500,0.1
11,Oracle,,1,4.484731693801584,0.08782435129740519,1,static,power,500,0.1
11,DM,,1,-0.6571120490075998,0.8343313373253493,0,static,power,500,0.1
11,cDM,,1,-0.05303554887410528,0.590818363273453,0,static,power,500,0.1
11,SS,1.2032890260861613,1,-0.518080183889587,0.8283433133732535,0,static,power,500,0.1
11,RV,1.1548635233256281,2,2.4985457773874673,0.6227544910179641,0,static,power,500,0.1
11,Oracle,,2,4.297740971790576,0.00998003992015968,1,static,power,500,0.1
11,DM,,2,-0.03159433047344047,0.5389221556886228,0,static,power,500,0.1
11,cDM,,2,-0.11240728449369615,0.7485029940119761,0,static,power,500,0.1
11,SS,0.8195054458837285,2,0.6243176093724312,0.10778443113772455,0,static,power,500,0.1
11,RV,0.7779381022437589,3,2.489387465481072,0.46506986027944114,0,static,power,500,0.1
11,Oracle,,3,-0.09571398858341468,0.46107784431137727,0,static,power,500,0.1
